uid,log_type,is_malicious,tactic,technique_id,technique_name,incident_id,priority
CF2nieX6SE0Ehu4o,conn,True,Discovery,T1046,Network Service Scanning,INC-001,MEDIUM
CYbmId0RU2icouPf,conn,True,Discovery,T1046,Network Service Scanning,INC-001,MEDIUM
CMVKIBAPKgfxL0R0,conn,True,Discovery,T1046,Network Service Scanning,INC-001,MEDIUM
CYF0i4remeQi35Hz,conn,True,Discovery,T1046,Network Service Scanning,INC-001,MEDIUM
CyzfjC7nTJpB2vfB,conn,True,Discovery,T1046,Network Service Scanning,INC-001,MEDIUM
CcagC0XPMHjoafLW,conn,True,Discovery,T1046,Network Service Scanning,INC-001,MEDIUM
C9Nmhus8Zqajc2oh,conn,True,Discovery,T1046,Network Service Scanning,INC-001,MEDIUM
C0gyHqVNhMCayT3w,conn,True,Discovery,T1046,Network Service Scanning,INC-001,MEDIUM
CZji5429Irvzl7zP,conn,True,Discovery,T1046,Network Service Scanning,INC-001,MEDIUM
C5U3lofsIjKYjNa0,conn,True,Discovery,T1046,Network Service Scanning,INC-001,MEDIUM
CAnCkupPaqSF3ut0,conn,True,Discovery,T1046,Network Service Scanning,INC-001,MEDIUM
CVIpAq1QAiFusU4M,conn,True,Discovery,T1046,Network Service Scanning,INC-001,MEDIUM
CDkIRNBlYah0Elud,conn,True,Discovery,T1046,Network Service Scanning,INC-001,MEDIUM
CCSAmwELnm2SUHZu,conn,True,Discovery,T1046,Network Service Scanning,INC-001,MEDIUM
CyS605FkChO1dlRX,conn,True,Discovery,T1046,Network Service Scanning,INC-001,MEDIUM
C04UjQSxCP0cd4c6,conn,True,Discovery,T1046,Network Service Scanning,INC-001,MEDIUM
C2gQ0s3u6gyTjcFy,conn,True,Discovery,T1046,Network Service Scanning,INC-001,MEDIUM
CroGgrTgDOVll9O3,conn,True,Discovery,T1046,Network Service Scanning,INC-001,MEDIUM
COEEdWoQ8XVkU1EW,conn,True,Discovery,T1046,Network Service Scanning,INC-001,MEDIUM
CPdOrpWmvWCm9OZM,conn,True,Discovery,T1046,Network Service Scanning,INC-001,MEDIUM
CN3ETlVOXCQP6fvk,conn,True,Discovery,T1046,Network Service Scanning,INC-001,MEDIUM
CsQYjUsZ8QhUCNFq,conn,True,Discovery,T1046,Network Service Scanning,INC-001,MEDIUM
C34l8SCxLLDjfXTq,conn,True,Discovery,T1046,Network Service Scanning,INC-001,MEDIUM
CWk7rLAVTJ6ShE51,conn,True,Discovery,T1046,Network Service Scanning,INC-001,MEDIUM
CltgGtvWLwmVXMgt,conn,True,Discovery,T1046,Network Service Scanning,INC-001,MEDIUM
Cp0Oi5aK2SJ4aVSO,conn,True,Discovery,T1046,Network Service Scanning,INC-001,MEDIUM
CDHhc8z9UEcrDgAe,conn,True,Discovery,T1046,Network Service Scanning,INC-001,MEDIUM
CfS6XPkBM98azWDC,conn,True,Discovery,T1046,Network Service Scanning,INC-001,MEDIUM
CyYD7mKVpcs2eaQ4,conn,True,Discovery,T1046,Network Service Scanning,INC-001,MEDIUM
C9kCjG8rwRUeNCdn,conn,True,Discovery,T1046,Network Service Scanning,INC-001,MEDIUM
CFDvEitAjfElpj9z,conn,True,Discovery,T1046,Network Service Scanning,INC-001,MEDIUM
CPof8MASfpubEoMZ,conn,True,Discovery,T1046,Network Service Scanning,INC-001,MEDIUM
CI9GXVfJO6kfqkzz,conn,True,Discovery,T1046,Network Service Scanning,INC-001,MEDIUM
CvFEbAfNM4lNLlNF,conn,True,Discovery,T1046,Network Service Scanning,INC-001,MEDIUM
CIf6yGsRlFNpjvJo,conn,True,Discovery,T1046,Network Service Scanning,INC-001,MEDIUM
CfxTZp3vMwIvgXCH,conn,True,Discovery,T1046,Network Service Scanning,INC-001,MEDIUM
CMQNihYQWtwE5Qt1,conn,True,Discovery,T1046,Network Service Scanning,INC-001,MEDIUM
